,index,AGGT,DIV,CIV,HIST,GEO,KISW,ENGL,PHY,CHEM,BIO,B/MATH,Course
163,2507,21,II,C,C,C,C,C,F,C,C,C,HGK
164,2508,14,I,C,B,C,B,A,D,C,B,B,PCB
165,2509,19,II,B,C,C,C,B,D,C,C,D,CBG
166,2510,20,II,C,C,C,C,B,D,C,C,D,CBG
167,2512,16,I,C,B,C,C,A,C,C,B,C,PCB
168,2947,23,III,C,D,D,B,C,F,D,C,F,ACCOUNTANCY
169,2956,23,III,C,D,C,C,C,F,D,C,F,ACCOUNTANCY
170,2958,24,III,C,D,D,C,C,F,D,C,F,ACCOUNTANCY
171,2963,21,II,C,D,C,C,D,C,C,C,C,PCM
172,2965,13,I,B,B,B,B,B,C,C,B,A,PGM
173,2969,10,I,A,B,C,A,B,C,B,A,A,PCB
174,2970,20,II,C,C,C,B,C,D,C,C,D,HGE
175,2971,18,II,C,C,C,B,B,D,C,B,C,PCM
176,2976,19,II,C,C,C,C,B,D,C,B,C,HEALTH INFORMATION SCIENCES
177,2977,21,II,C,C,C,C,C,D,C,C,D,HGK
178,2979,20,II,C,C,C,B,C,D,C,C,F,HGE
179,2984,18,II,C,C,C,B,C,D,B,B,C,PCB
180,2992,20,II,C,C,C,B,C,D,D,C,C,EGM
181,3290,16,I,B,C,B,B,B,D,B,C,C,PCB
182,3291,18,II,B,C,C,C,B,D,C,C,B,PCM
183,3294,21,II,C,C,C,C,C,D,C,C,D,HGL
184,3296,19,II,C,C,B,B,C,F,C,C,D,EGM
185,3299,23,III,C,D,C,C,C,F,D,C,F,HUMAN RESOURCE MANAGEMENT
186,3300,21,II,B,C,C,C,C,F,D,C,D,TAXATION
187,3709,24,III,C,D,C,C,C,F,D,D,F,PUBLIC ADMINISTRATION
188,3714,24,III,C,F,C,B,C,F,D,D,F,PUBLIC ADMINISTRATION
189,3722,24,III,C,D,C,C,C,F,D,D,F,HUMAN RESOURCE MANAGEMENT
190,3727,23,III,C,D,C,B,C,F,D,D,F,HGK
191,3728,20,II,B,D,C,B,C,F,C,C,F,CBG
192,3736,25,III,C,F,C,C,C,F,F,D,D,LOCAL GOVERNMENT ADMINISTRATION
193,3744,25,III,C,F,D,C,C,F,D,C,F,LAW
194,3747,17,I,B,C,C,A,C,D,C,B,D,CBG
195,3748,20,II,C,C,C,B,C,F,C,C,D,HKL
196,3752,23,III,C,D,C,C,C,F,D,C,F,BUSINESS ADMINISTRATION
197,3753,16,I,B,B,C,B,B,D,C,B,C,NURSING AND MIDWIFERY
198,3877,7,I,A,A,A,A,A,C,B,A,A,PGM
199,3882,20,II,C,C,C,C,B,D,C,C,D,CBG
200,3886,19,II,C,C,C,C,A,D,C,C,F,WATER LABORATORY TECHNOLOGY
201,3887,18,II,C,C,C,B,A,D,C,C,D,CBG
202,3891,16,I,C,B,C,C,A,C,B,B,C,PCB
203,3893,17,I,C,A,C,C,A,C,C,C,C,PCM
204,4058,20,II,C,C,C,B,B,F,D,C,D,HGE
205,4066,23,III,C,D,D,C,C,F,D,C,C,GEOMATICS
206,4069,24,III,D,D,C,C,C,F,D,C,F,LOGISTICS AND TRANSPORT MANAGEMENT
207,4076,22,III,C,D,C,B,C,F,D,C,F,HKL
208,4084,21,II,C,D,C,B,C,F,C,C,F,HGL
209,4102,25,III,D,C,D,C,C,F,D,D,D,ECONOMICS DEVELOPMENT
210,4122,23,III,C,D,D,B,C,F,D,C,F,COMMUNITY DEVELOPMENT
211,4134,25,III,C,D,D,C,C,F,D,D,F,COMMUNITY DEVELOPMENT
212,4135,23,III,C,D,D,C,C,F,C,C,F,PUBLIC SECTOR ACCOUNTING AND FINANCE
213,4138,24,III,C,D,D,C,C,F,C,D,F,SECRETARIAL STUDIES
214,4144,21,II,C,D,C,B,B,F,D,C,F,HKL
215,4151,21,II,C,D,C,C,B,F,C,C,F,HGL
216,4158,20,II,C,D,C,B,C,D,C,C,C,EGM
217,4161,21,II,C,C,C,C,C,D,C,C,D,HGK
218,4162,20,II,C,C,C,B,C,D,C,C,F,HGE
219,4164,23,III,C,D,D,C,C,F,C,C,F,PROCUREMENT AND LOGISTICS MANAGEMENT
220,4165,23,III,C,D,C,C,C,D,D,C,F,COMMUNITY DEVELOPMENT
221,4168,16,I,C,C,B,B,B,D,C,B,B,FOOD SCIENCE AND TECHNOLOGY
222,4170,16,I,C,C,B,B,A,D,C,B,C,NURSING AND MIDWIFERY
223,4173,19,II,C,C,C,B,B,D,C,C,F,CBG
224,4175,22,III,C,D,C,C,B,F,D,C,F,RECORDS MANAGEMENT
225,4180,21,II,C,C,C,C,C,D,C,C,D,HGK
226,4187,19,II,C,C,B,C,B,C,C,C,C,PCM
227,4193,21,II,C,C,C,C,C,F,C,C,F,FILM AND TV PRODUCTION
228,4195,19,II,C,C,C,B,B,D,C,C,C,CBG
229,4196,20,II,C,C,C,C,C,D,B,C,D,CBG
230,4208,22,III,C,D,C,C,C,D,C,C,D,FREIGHT CLEARING AND FORWARDING
231,4213,17,I,C,B,C,C,B,C,C,C,A,ELECTRICAL AND HYDRO POWER ENGINEERING
232,4217,21,II,C,C,C,C,C,D,C,C,D,HGL
233,4520,25,III,D,D,C,C,D,F,D,C,F,CBG
234,4523,22,III,C,C,D,B,C,F,D,C,F,HGK
235,4526,20,II,C,C,C,B,C,D,C,C,D,CBA
236,4527,21,II,C,C,C,B,C,F,D,C,F,HKL
237,4528,25,III,D,D,C,C,D,F,D,C,D,INSURANCE AND SOCIAL PROTECTION
238,4531,21,II,C,C,C,B,D,F,C,C,F,STASHAHADA MAALUMU YA UALIMU WA MASOMO YA SAYANSI (KEMIA NA BAIOLOJIA )
239,4532,21,II,C,C,C,B,D,F,D,C,F,HKL
240,4534,22,III,C,C,C,C,C,F,D,C,F,HGE
241,4535,21,II,C,C,D,B,C,F,C,C,F,HKL
242,4539,21,II,C,C,C,B,C,F,D,C,F,HGE
243,4540,22,III,C,C,C,C,D,F,C,C,F,HUMAN RESOURCE MANAGEMENT
244,4541,20,II,C,B,C,C,C,F,C,C,F,HGE
245,4542,21,II,C,C,C,C,C,F,C,C,F,HGL
246,4544,13,I,B,A,C,A,B,C,B,B,D,BIO-MEDICAL EQUIPMENT ENGINEERING
247,4545,23,III,C,C,C,C,C,F,D,D,F,ACCOUNTANCY
248,4546,18,II,C,B,B,B,C,D,C,C,C,PGM
249,4547,21,II,C,C,C,C,C,F,D,C,F,HGL
250,4548,24,III,C,D,D,C,C,F,D,C,F,RECORDS MANAGEMENT
251,4549,23,III,D,C,C,C,C,D,D,C,F,TAXATION
252,4550,21,II,C,B,C,C,C,F,D,C,F,HGK
253,4553,21,II,C,C,C,C,C,D,D,C,D,HGL
254,4555,21,II,C,C,C,C,C,F,C,C,F,HGL
255,4559,18,II,B,C,C,C,B,D,C,B,D,CBG
256,4562,23,III,C,D,D,B,C,F,C,D,D,COMMUNITY DEVELOPMENT
257,4564,21,II,C,C,D,B,C,F,C,C,F,HGK
258,4577,23,III,D,F,D,B,D,F,C,C,C,STASHAHADA MAALUMU YA UALIMU WA MASOMO YA SAYANSI (KEMIA NA HISABATI)
259,4598,24,III,D,D,D,C,C,D,C,C,D,INFORMATION AND COMMUNICATION TECHNOLOGY
260,4602,24,III,C,D,D,C,C,F,D,C,F,COMMUNITY DEVELOPMENT
261,5095,22,III,D,C,D,B,C,F,C,C,D,HKL
262,5110,25,III,D,C,C,B,D,F,F,D,F,HGK
263,5115,23,III,C,C,D,C,C,D,D,C,F,RECORDS MANAGEMENT
264,5119,24,III,D,C,C,C,D,F,C,D,D,HUMAN RESOURCE MANAGEMENT
265,5120,21,II,C,C,C,B,C,F,D,C,F,HGK
266,5122,20,II,C,C,C,B,C,F,C,C,F,HGK
267,5126,20,II,C,C,B,B,C,F,D,C,D,HGE
268,5128,23,III,D,C,C,C,D,D,C,C,D,SOCIAL WORK
269,5129,17,I,C,C,C,B,C,C,B,B,B,PCM
270,5130,21,II,C,C,C,B,C,D,D,C,F,HGK
271,5131,23,III,D,C,C,C,D,D,C,C,D,BUSINESS MANAGEMENT
272,5132,21,II,C,C,C,B,C,F,D,C,F,HKL
273,5133,22,III,C,C,C,C,C,F,D,C,F,RECORDS MANAGEMENT
274,5135,23,III,D,C,C,C,C,F,D,C,D,RECORDS MANAGEMENT
275,5137,22,III,C,D,C,C,C,F,C,C,F,RECORDS MANAGEMENT
276,5138,25,III,D,C,D,C,D,F,D,C,D,COMMUNITY DEVELOPMENT
277,5142,20,II,C,B,C,C,C,F,C,C,F,HGL
278,5145,15,I,C,B,B,A,B,D,C,B,C,PCB
279,5146,14,I,C,B,A,C,C,C,B,A,B,PCB
280,5148,22,III,C,C,C,B,D,F,D,C,D,HGK
281,5151,20,II,C,B,C,B,C,F,D,C,F,HGL
282,5152,11,I,C,A,C,A,A,C,A,B,B,PCB
283,5153,22,III,C,C,C,C,C,D,D,C,D,BANKING AND FINANCE
284,5155,16,I,B,B,C,B,C,D,B,B,C,CBG
285,5259,18,II,C,C,C,A,B,D,C,C,C,CBG
286,5265,18,II,B,C,C,A,C,C,C,C,C,PCB
287,5267,18,II,C,C,C,B,A,D,C,C,D,CBG
288,5276,22,III,C,D,C,B,C,F,D,C,D,HGL
289,5292,25,III,C,D,D,C,C,D,F,D,F,COMMUNITY DEVELOPMENT
290,5297,19,II,C,C,C,B,B,C,C,C,D,PCB
291,5300,18,II,C,C,C,A,B,C,C,C,C,CBG
292,5304,23,III,C,D,C,C,C,D,D,C,D,INFORMATION AND COMMUNICATION TECHNOLOGY
293,5307,17,I,B,C,C,A,C,C,C,C,B,PCM
294,5309,18,II,C,D,C,B,A,C,C,C,D,CBG
295,5312,16,I,B,C,C,B,B,C,B,B,C,PCB
296,5319,20,II,C,C,C,B,C,D,C,C,D,HGL
297,5326,18,II,C,C,B,B,B,C,C,C,D,CBG
298,5332,21,II,C,D,C,A,C,D,D,C,F,HKL
299,5334,21,II,C,C,C,B,C,D,D,C,D,HGK
300,5337,22,III,C,D,C,B,C,D,D,C,F,BUSINESS ADMINISTRATION
301,5338,14,I,B,B,C,A,B,C,B,B,C,PCB
302,5340,20,II,C,D,C,B,C,C,C,C,C,CBG
303,5425,24,III,D,D,D,B,C,D,D,C,D,BUSINESS ADMINISTRATION
304,5442,24,III,C,D,D,C,C,F,D,C,D,RECORDS MANAGEMENT
305,5443,23,III,D,C,C,C,C,D,D,C,D,CERTIFICATE IN MICROFINANCE MANAGEMENT
306,5446,21,II,C,C,C,C,C,D,C,C,D,HGK
307,6066,24,III,C,C,D,B,D,F,D,D,D,COMMUNITY DEVELOPMENT
308,6075,23,III,C,C,D,C,C,F,D,C,D,ACCOUNTANCY
309,6079,20,II,C,C,C,C,C,D,C,C,B,CBG
310,6085,17,I,C,C,C,A,B,D,C,C,B,PCM
311,6087,22,III,C,C,C,C,C,F,D,C,D,LOCAL GOVERNMENT ACCOUNTING AND FINANCE
312,6339,20,II,C,C,C,C,A,F,D,C,D,HGK
313,6344,25,III,D,C,D,C,C,F,D,D,F,SECRETARIAL STUDIES
314,6346,18,II,B,C,C,B,B,D,C,C,C,CBG
315,6351,20,II,C,C,C,B,C,D,C,C,D,CBA
316,6354,17,I,B,C,C,A,B,F,C,C,D,CBG
317,6356,19,II,B,C,B,C,C,D,C,C,C,EGM
318,6358,23,III,C,D,D,C,C,D,C,C,D,LOCAL GOVERNMENT ACCOUNTING AND FINANCE
319,6369,20,II,C,C,C,B,C,D,D,C,C,EGM
320,6371,18,II,C,C,C,B,A,D,C,C,D,CBG
321,6372,21,II,C,D,C,C,B,F,D,C,F,HUMAN RESOURCE MANAGEMENT
322,6373,22,III,C,C,C,C,D,D,C,C,D,COMPUTING AND INFORMATION COMMUNICATION TECHNOLOGY
323,6374,14,I,B,B,C,C,A,C,B,B,B,PCB
324,6375,19,II,C,B,C,B,C,C,C,C,D,CBG
325,6376,19,II,B,C,C,B,C,C,C,C,C,CBG
326,6580,24,III,C,C,D,C,C,D,D,D,F,HUMAN RESOURCE MANAGEMENT
327,6588,20,II,C,C,C,C,C,D,C,B,D,CBG
328,6589,20,II,C,C,C,B,C,F,C,C,F,HKL
329,6591,21,II,C,C,C,C,C,D,C,C,F,HGK
330,6592,21,II,C,C,C,C,C,D,C,C,C,EGM
331,6593,22,III,C,C,C,C,D,F,C,C,F,"FISH PROCESSING,QUALITY ASSURANCEAND MARKETING"
332,6602,20,II,C,D,C,B,C,D,C,B,F,CBG
333,6607,21,II,C,C,C,C,C,D,D,C,F,HGL
334,6608,21,II,C,C,C,C,C,C,C,C,C,HGL
335,6613,22,III,C,D,C,C,C,D,C,C,D,HOSPITALITY OPERATIONS
336,6615,20,II,C,C,C,B,C,D,C,C,D,HGK
337,6619,25,III,D,D,C,C,D,F,D,C,F,FORESTRY
338,6620,24,III,D,D,C,C,D,F,C,C,F,BUSINESS ADMINISTRATION
339,6644,19,II,B,C,C,B,C,D,C,C,D,CBG
340,6652,21,II,C,C,C,C,C,F,C,C,F,RURAL DEVELOPMENT PLANNING
341,6653,23,III,C,D,C,C,D,F,C,C,F,INTERNATIONAL RELATIONS AND DIPLOMACY
342,6654,21,II,C,D,C,C,C,D,C,C,C,CLINICAL DENTISTRY
343,6655,25,III,C,D,D,C,F,F,C,C,F,GRAPHIC ARTS AND PRINTING
344,6663,23,III,C,D,C,C,D,D,C,C,D,PUBLIC SECTOR ACCOUNTING AND FINANCE
345,6667,16,I,C,B,B,B,C,D,C,A,C,CBG
346,6841,22,III,C,C,C,B,D,F,D,C,D,HGK
347,6847,21,II,C,C,C,C,C,D,C,C,C,PCM
348,6858,24,III,C,D,D,B,D,D,C,D,D,INFORMATION TECHNOLOGY
349,6862,17,I,C,B,C,B,C,C,B,B,C,PCB
350,6863,21,II,C,C,C,B,D,F,C,C,F,HGK
351,6868,18,II,B,C,B,B,C,D,C,C,D,CBG
352,6872,19,II,C,C,C,B,C,D,C,C,B,EGM
353,6873,21,II,B,C,C,C,D,D,C,C,D,ENVIRONMENTAL HEALTH SCIENCES
354,6878,24,III,C,D,D,C,D,D,C,C,D,ACCOUNTANCY
355,6882,22,III,C,C,C,C,D,F,C,C,D,COMMUNITY DEVELOPMENT
356,6883,23,III,C,D,C,C,C,D,D,C,F,PROCUREMENT AND LOGISTICS MANAGEMENT
357,6884,24,III,C,D,C,C,D,D,D,C,F,PUBLIC ADMINISTRATION
358,6886,17,I,C,B,B,B,C,C,C,B,C,BIO-MEDICAL EQUIPMENT ENGINEERING
359,6893,25,III,C,C,D,C,D,D,D,D,F,COMMUNITY DEVELOPMENT
360,7545,24,III,D,D,D,B,D,D,D,C,F,MARKETING MANAGEMENT
361,7549,19,II,C,C,C,B,C,D,C,B,D,CBG
362,7565,21,II,D,D,C,B,C,D,C,C,D,HGK
363,7569,21,II,C,C,C,C,C,C,C,C,D,HGL
364,7577,22,III,C,D,C,C,C,D,D,C,D,BUSINESS ADMINISTRATION
365,7580,21,II,C,D,C,C,C,C,D,B,F,STASHAHADA MAALUMU YA UALIMU WA MASOMO YA SAYANSI (FIZIKIA NA TEHAMA)
366,7581,25,III,D,D,C,D,D,D,D,C,F,HUMAN RESOURCE MANAGEMENT
367,7673,16,I,B,B,C,B,B,D,C,C,D,HKL
368,7674,11,I,B,A,C,B,A,C,B,A,B,EGM
369,7675,20,II,C,C,D,B,B,D,C,C,D,HKL
370,7676,24,III,C,D,D,C,B,D,D,D,D,PROCUREMENT AND LOGISTICS MANAGEMENT
371,7677,21,II,C,C,C,C,B,D,D,C,D,HKL
372,7678,23,III,D,C,D,C,C,D,C,C,D,DEVELOPMENT ADMINISTRATION AND MANAGEMENT
373,7679,25,III,C,D,D,C,C,D,D,D,D,CIVIL ENGINEERING WITH COMMUNITY DEVELOPMENT
374,7681,20,II,C,C,D,C,C,D,C,B,D,HKL
375,7682,18,II,B,B,C,C,C,C,C,C,D,CBG
376,7683,20,II,C,C,C,B,C,C,C,C,C,EGM
377,7684,22,III,C,C,D,C,C,F,D,C,F,PUBLIC ADMINISTRATION
378,7685,19,II,C,C,D,B,B,D,C,C,C,WATER LABORATORY TECHNOLOGY
379,7686,19,II,C,C,C,C,A,D,C,C,C,PCM
380,7687,16,I,C,B,C,B,A,C,C,B,C,PCB
381,7688,16,I,C,C,C,B,A,C,B,B,D,PCB
382,7689,21,II,C,D,D,B,B,D,C,D,D,HKL
383,7690,16,I,C,C,C,B,A,C,B,B,C,PCB
